Symbol,Z,Neutrony,Nazwa,Grupa,Okres,K,L,M,N,O,P,Q,Masa
H,1,0,wodór,1,1,1,,,,,,,1
He,2,2,hel,18,1,2,,,,,,,4
Li,3,4,lit,1,2,2,1,,,,,,7
Be,4,5,beryl,2,2,2,2,,,,,,9
B,5,6,bor,13,2,2,3,,,,,,11
C,6,6,wêgiel,14,2,2,4,,,,,,12
N,7,7,azot,15,2,2,5,,,,,,14
O,8,8,tlen,16,2,2,6,,,,,,16
F,9,10,fluor,17,2,2,7,,,,,,19
Ne,10,10,neon,18,2,2,8,,,,,,20
Na,11,12,sód,1,3,2,8,1,,,,,23
Mg,12,12,magnez,2,3,2,8,2,,,,,24
Al,13,14,glin,13,3,2,8,3,,,,,27
Si,14,14,krzem,14,3,2,8,4,,,,,28
P,15,16,fosfor,15,3,2,8,5,,,,,31
S,16,16,siarka,16,3,2,8,6,,,,,32
Cl,17,18,chlor,17,3,2,8,7,,,,,35
Ar,18,22,argon,18,3,2,8,8,,,,,40
K,19,20,potas,1,4,2,8,8,1,,,,39
Ca,20,20,wapñ,2,4,2,8,8,2,,,,40
Sc,21,24,skand,3,4,2,8,9,2,,,,45
Ti,22,26,tytan,4,4,2,8,10,2,,,,48
V,23,28,wanad,5,4,2,8,11,2,,,,51
Cr,24,28,chrom,6,4,2,8,13,1,,,,52
Mn,25,30,mangan,7,4,2,8,13,2,,,,55
Fe,26,30,¿elazo,8,4,2,8,14,2,,,,56
Co,27,32,kobalt,9,4,2,8,15,2,,,,59
Ni,28,31,nikiel,10,4,2,8,16,2,,,,59
Cu,29,35,miedŸ,11,4,2,8,18,1,,,,64
Zn,30,35,cynk,12,4,2,8,18,2,,,,65
Ga,31,39,gal,13,4,2,8,18,3,,,,70
Ge,32,41,german,14,4,2,8,18,4,,,,73
As,33,42,arsen,15,4,2,8,18,5,,,,75
Se,34,45,selen,16,4,2,8,18,6,,,,79
Br,35,45,brom,17,4,2,8,18,7,,,,80
Kr,36,48,krypton,18,4,2,8,18,8,,,,84
Rb,37,48,rubid,1,5,2,8,18,8,1,,,85
Sr,38,50,stront,2,5,2,8,18,8,2,,,88
Y,39,50,itr,3,5,2,8,18,9,2,,,89
Zr,40,51,cyrkon,4,5,2,8,18,10,2,,,91
Nb,41,52,niob,5,5,2,8,18,12,1,,,93
Mo,42,54,molibden,6,5,2,8,18,13,1,,,96
Tc,43,56,technet,7,5,2,8,18,14,1,,,99
Ru,44,57,ruten,8,5,2,8,18,15,1,,,101
Rh,45,58,rod,9,5,2,8,18,16,1,,,103
Pd,46,60,pallad,10,5,2,8,18,18,,,,106
Ag,47,61,srebro,11,5,2,8,18,18,1,,,108
Cd,48,64,kadm,12,5,2,8,18,18,2,,,112
In,49,66,ind,13,5,2,8,18,18,3,,,115
Sn,50,69,cyna,14,5,2,8,18,18,4,,,119
Sb,51,71,antymon,15,5,2,8,18,18,5,,,122
Te,52,76,tellur,16,5,2,8,18,18,6,,,128
I,53,74,jod,17,5,2,8,18,18,7,,,127
Xe,54,77,ksenon,18,5,2,8,18,18,8,,,131
Cs,55,78,cez,1,6,2,8,18,18,8,1,,133
Ba,56,81,bar,2,6,2,8,18,18,8,2,,137
La,57,82,lantan,Lantanowce,6,2,8,18,18,9,2,,139
Ce,58,82,cer,Lantanowce,6,2,8,18,19,9,2,,140
Pr,59,82,prazeodym,Lantanowce,6,2,8,18,21,8,2,,141
Nd,60,84,neodym,Lantanowce,6,2,8,18,22,8,2,,144
Pm,61,86,promet,Lantanowce,6,2,8,18,23,8,2,,147
Sm,62,88,samar,Lantanowce,6,2,8,18,24,8,2,,150
Eu,63,89,europ,Lantanowce,6,2,8,18,25,8,2,,152
Gd,64,93,gadolin,Lantanowce,6,2,8,18,25,9,2,,157
Tb,65,94,terb,Lantanowce,6,2,8,18,27,8,2,,159
Dy,66,97,dysproz,Lantanowce,6,2,8,18,28,8,2,,163
Ho,67,98,holm,Lantanowce,6,2,8,18,29,8,2,,165
Er,68,99,erb,Lantanowce,6,2,8,18,30,8,2,,167
Tm,69,100,tul,Lantanowce,6,2,8,18,31,8,2,,169
Yb,70,103,iterb,Lantanowce,6,2,8,18,32,8,2,,173
Lu,71,104,lutet,Lantanowce,6,2,8,18,32,9,2,,175
Hf,72,106,hafn,4,6,2,8,18,32,10,2,,178
Ta,73,108,tantal,5,6,2,8,18,32,11,2,,181
W,74,110,wolfram,6,6,2,8,18,32,12,2,,184
Re,75,111,ren,7,6,2,8,18,32,13,2,,186
Os,76,114,osm,8,6,2,8,18,32,14,2,,190
Ir,77,115,iryd,9,6,2,8,18,32,15,2,,192
Pt,78,117,platyna,10,6,2,8,18,32,17,1,,195
Au,79,118,z³oto,11,6,2,8,18,32,18,1,,197
Hg,80,121,rtêæ,12,6,2,8,18,32,18,2,,201
Tl,81,123,tal,13,6,2,8,18,32,18,3,,204
Pb,82,125,o³ów,14,6,2,8,18,32,18,4,,207
