wodór,H
hel,He
lit,Li
beryl,Be
bor,B
wêgiel,C
azot,N
tlen,O
fluor,F
neon,Ne
sód,Na
magnez,Mg
glin,Al
krzem,Si
fosfor,P
siarka,S
chlor,Cl
argon,Ar
potas,K
wapñ,Ca
skand,Sc
tytan,Ti
wanad,V
chrom,Cr
mangan,Mn
¿elazo,Fe
kobalt,Co
nikiel,Ni
miedŸ,Cu
cynk,Zn
gal,Ga
german,Ge
arsen,As
selen,Se
brom,Br
krypton,Kr
rubid,Rb
stront,Sr
itr,Y
cyrkon,Zr
niob,Nb
molibden,Mo
technet,Tc
ruten,Ru
rod,Rh
pallad,Pd
srebro,Ag
kadm,Cd
ind,In
cyna,Sn
antymon,Sb
tellur,Te
jod,I
ksenon,Xe
cez,Cs
bar,Ba
lantan,La
cer,Ce
prazeodym,Pr
neodym,Nd
promet,Pm
samar,Sm
europ,Eu
gadolin,Gd
terb,Tb
dysproz,Dy
holm,Ho
erb,Er
tul,Tm
iterb,Yb
lutet,Lu
hafn,Hf
tantal,Ta
wolfram,W
ren,Re
osm,Os
iryd,Ir
platyna,Pt
z³oto,Au
rtêæ,Hg
tal,Tl
o³ów,Pb
bizmut,Bi
polon,Po
astat,At
radon,Rn
frans,Fr
rad,Ra
aktyn,Ac
tor,Th
protaktyn,Pa
uran,U
neptun,Np
pluton,Pu
ameryk,Am
kiur,Cm
berkel,Bk
kaliforn,Cf
einstein,Es
ferm,Fm
mendelew,Md
nobel,No
lorens,Lr
rutherford,Rf
dubn,Db
seaborg,Sg
bohr,Bh
